Symbol,Name,AUM,Avg Daily Share Volume (3mo)
EMB,iShares J.P. Morgan USD Emerging Markets Bond ETF,"$17,523,800.00 ","7,656,883"
DFAC,Dimensional U.S. Core Equity 2 ETF,"$17,427,300.00 ","1,990,949"
VGK,Vanguard FTSE Europe ETF,"$17,129,300.00 ","4,433,956"
VHT,Vanguard Health Care ETF,"$16,985,100.00 ","251,243"
XLP,Consumer Staples Select Sector SPDR Fund,"$16,915,000.00 ","9,788,508"
VOE,Vanguard Mid-Cap Value ETF,"$16,860,400.00 ","494,148"
EFV,iShares MSCI EAFE Value ETF,"$16,451,600.00 ","3,643,511"
SPYV,SPDR Portfolio S&P 500 Value ETF,"$16,106,600.00 ","3,687,443"
XLU,Utilities Select Sector SPDR Fund,"$15,746,300.00 ","11,267,870"
SPLG,SPDR Portfolio S&P 500 ETF,"$15,652,600.00 ","3,635,684"
VTIP,Vanguard Short-Term Inflation-Protected Securities ETF,"$15,608,500.00 ","3,401,890"
SPDW,SPDR Portfolio Developed World ex-US ETF,"$15,167,200.00 ","4,232,991"
VMBS,Vanguard Mortgage-Backed Securities ETF,"$15,022,400.00 ","2,000,040"
SCHG,Schwab U.S. Large-Cap Growth ETF,"$14,764,900.00 ","1,388,616"
SCHA,Schwab U.S. Small-Cap ETF,"$14,394,800.00 ","1,040,908"
SPYG,SPDR Portfolio S&P 500 Growth ETF,"$14,388,400.00 ","2,536,732"
VXF,Vanguard Extended Market ETF,"$14,177,900.00 ","416,952"
XLY,Consumer Discretionary Select Sector SPDR Fund,"$14,138,600.00 ","4,784,075"
PFF,iShares Preferred & Income Securities ETF,"$14,131,800.00 ","4,487,389"
SCHP,Schwab U.S. TIPS ETF,"$14,037,000.00 ","2,363,995"
XLI,Industrial Select Sector SPDR Fund,"$13,863,600.00 ","10,377,559"
VGIT,Vanguard Intermediate-Term Treasury ETF,"$13,859,500.00 ","2,513,200"
