,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY
,date,open,high,low,close,adjusted_close,volume,macd,macd_diff,macd_signal,bb_mavg,bb_hband,bb_lband,bb_hband_ind,bb_lband_ind,vwap,stoch_rsi,stochrsi_d,stochrsi_k
9,1993-02-11,44.7813,45.125,44.7813,44.9375,25.8016,19500,0.2499611810193585,0.07035010763338548,0.179611073385973,44.6594,45.352258888952136,43.96654111104786,0.0,0.0,44.52870453087809,0.0,0.0,0.0
10,1993-02-12,44.875,44.875,44.5938,44.5938,25.6043,42500,0.23078817624352865,0.0409416822860445,0.18984649395748415,44.65343636363637,45.315127240503294,43.99174548676944,0.0,0.0,44.53023944017463,0.0,0.0,0.0
11,1993-02-16,44.4688,44.4688,43.4063,43.4688,24.9583,374800,0.1233929368750708,-0.053162845665930686,0.1765557825410015,44.55471666666667,45.46584456048229,43.643588772851054,0.0,1.0,44.471424014164185,0.0,0.0,0.0
12,1993-02-17,43.4688,43.5313,43.2813,43.4375,24.9404,210900,0.035348314157609195,-0.11296597470671382,0.14831428886432302,44.46877692307692,45.527458524529614,43.41009532162423,0.0,0.0,44.42678845791111,0.0,0.0,0.0
13,1993-02-18,43.9375,43.9375,42.8125,43.4063,24.9224,378100,-0.036524234286630985,-0.14787081852076323,0.11134658423413223,44.39288571428572,45.5505738584695,43.23519757010194,0.0,0.0,44.35335210074107,0.0,0.0,0.0
14,1993-02-19,43.4063,43.5625,43.3438,43.5625,25.0122,34900,-0.07995800603882941,-0.15304367221836931,0.0730856661795399,44.33752666666667,45.53021746306875,43.144835870264586,0.0,0.0,44.4533387074257,0.07048450325287618,0.0,0.0
15,1993-02-22,43.6875,43.7813,43.5625,43.7188,25.1019,513600,-0.10060773597528794,-0.13895472172386228,0.03834698574857434,44.29885625,45.4918895457817,43.1058229542183,0.0,0.0,44.3967296064522,0.1361018715661871,0.0,0.06886212493968775
16,1993-02-23,43.8438,43.875,43.4688,43.6875,25.0839,373700,-0.1181366385069893,-0.1251868994044509,0.007050260897461615,44.26289411764706,45.45552685234018,43.07026138295394,0.0,0.0,44.34330634513351,0.12721509990313654,0.0,0.11126715824073329
17,1993-02-24,43.7188,44.25,43.7188,44.25,25.4069,26300,-0.08565202780098247,-0.07416183095875527,-0.011490196842227202,44.26217777777778,45.42122351468677,43.103132040868786,0.0,0.0,44.2984248423143,0.323539964175107,0.12524942057618818,0.19561897854814356
18,1993-02-25,44.2188,44.375,44.125,44.3438,25.4607,44500,-0.05174240940964836,-0.03220177005393693,-0.019540639355711435,44.266473684210524,45.39519472446077,43.137752643960276,0.0,0.0,44.19641493982136,0.36804646282015113,0.1932733263627806,0.2729338422994649
19,1993-02-26,44.4375,44.4375,44.1875,44.4063,25.4966,66200,-0.019599632500089115,-4.7194515502144846e-05,-0.01955243798458697,44.273465,45.375293204894035,43.17163679510597,0.0,0.0,44.08811482866239,0.38658956935576533,0.27598160654376097,0.3593919987836745
20,1993-03-01,44.5625,44.5625,44.2188,44.2813,25.4248,66500,-0.004164697513971305,0.012310192376492533,-0.016474889890463838,44.290655,45.381655087030246,43.199654912969756,0.0,0.0,43.88990136690286,0.4931878132725303,0.3494223742997628,0.4159412818161489
21,1993-03-02,44.3125,44.9375,44.25,44.9375,25.8016,182400,0.060322099953950215,0.061437591875531244,-0.0011154919215810265,44.325030000000005,45.45148716847114,43.19857283152887,0.0,0.0,43.90949415760703,0.7400694743132811,0.43842741097122745,0.5399489523138589
22,1993-03-03,45.0,45.1563,44.9375,45.125,25.9093,280100,0.12511577774272808,0.10098501573144729,0.024130762011280796,44.36409,45.54337917386704,43.18480082613296,0.0,0.0,43.924201110686056,0.7940322493747737,0.5438844710389565,0.6757631789868617
23,1993-03-04,45.1875,45.1875,44.875,44.875,25.7658,89500,0.1545112144405678,0.10430436194342961,0.0502068524971382,44.367215,45.551560976942554,43.18286902305745,0.0,0.0,43.9519420342772,0.8323405570352532,0.6681754082917188,0.788814093574436
24,1993-03-05,44.9375,45.125,44.7188,44.75,25.694,40000,0.165809505705937,0.09248212256703903,0.07332738313889797,44.354715,45.51715721064963,43.19227278935037,0.0,0.0,43.95389753993412,0.7538772281833753,0.7526646502530329,0.7934166781978007
25,1993-03-08,44.8438,45.75,44.8438,45.75,26.2682,50800,0.2525439560625031,0.14337325833888412,0.10917069772361901,44.393775000000005,45.68184065341213,43.10570934658788,1.0,0.0,44.01353129445033,1.0,0.814767788948371,0.8620725950728761
26,1993-03-09,45.6563,45.6875,45.5,45.5938,26.1784,169300,0.30515990484827427,0.15679136569972418,0.14836853914855008,44.425025000000005,45.795093657951135,43.054956342048875,0.0,0.0,44.18340286425724,0.9177335567924552,0.8486754005319845,0.8905369283252768
27,1993-03-10,45.5938,45.6875,45.4063,45.6875,26.2323,194400,0.35038026466791194,0.1616093804154895,0.18877088425242244,44.476585,45.95121220478771,43.00195779521229,0.0,0.0,44.45349338242191,0.9339275186829542,0.9010544050744298,0.9505536918251364
28,1993-03-11,45.7188,45.8438,45.5,45.5625,26.1605,70900,0.3718448740460616,0.1464591918349113,0.2253856822111503,44.51877,46.06522263503284,42.97231736496717,0.0,0.0,44.50765786059096,0.8362201236118635,0.9123503399487235,0.8959603996957576
29,1993-03-12,45.1875,45.2188,44.8125,45.0938,25.8914,643600,0.3470351534842493,0.09731957701847918,0.2497155764657701,44.526585,46.0829706826314,42.970199317368596,0.0,0.0,44.84049463638209,0.5379529855188007,0.8719603224862555,0.7693668759378728
30,1993-03-15,45.0625,45.3125,45.0625,45.3125,26.017,310800,0.34108867551150013,0.07309847923658397,0.26799019627491616,44.56252,46.15619499898819,42.96884500101181,0.0,0.0,45.0890339119283,0.3354421979816755,0.7450663482236922,0.5698717690374465
31,1993-03-16,45.3125,45.4375,45.3125,45.3125,26.017,30800,0.33254270358970217,0.051642005851828765,0.2809006977378734,44.654705,46.197124209521206,43.11228579047879,0.0,0.0,45.104610987588174,0.3354421979816755,0.5807281462675677,0.4029457938273839
32,1993-03-17,45.25,45.25,44.9688,45.0313,25.8555,21800,0.29962557227103304,0.014979899626527682,0.28464567264450535,44.734395,46.17859103582755,43.29019896417245,0.0,0.0,45.12092766075805,0.022974056248504023,0.4013679045340384,0.23128615073728498
33,1993-03-18,45.2188,45.5,45.2188,45.3125,26.017,59300,0.29285316941713546,0.0065659974181040415,0.2862871719990314,44.829705000000004,46.15765078876551,43.5017592112345,0.0,0.0,45.150184022562065,0.2635649080198135,0.28051966621599994,0.20732705408333096
34,1993-03-19,45.2813,45.2813,45.0313,45.0313,25.9777,66900,0.2617778888972211,-0.01960742648144831,0.2813853153786694,44.903145,46.098482897792934,43.70780710220707,0.0,0.0,45.17305319671885,0.0,0.1780420643033517,0.09551298808943914
35,1993-03-22,44.5938,44.875,44.5625,44.7813,25.8335,183400,0.2145049153970362,-0.05350431998530658,0.2680092353823428,44.95627,46.023967640907784,43.88857235909222,0.0,0.0,45.17543590010249,0.0,0.13023167050423598,0.0878549693399378
36,1993-03-23,44.9063,44.9375,44.8125,44.875,25.8876,55200,0.18249782886102395,-0.06840912521705511,0.25090695407807906,45.015645,45.91299787925099,44.11829212074901,0.0,0.0,45.18153994563849,0.07141855501457149,0.06905804747807802,0.023806185004857126
37,1993-03-24,44.8125,45.0625,44.5938,44.875,25.8876,37200,0.1553413043229952,-0.07645251980406712,0.23179382412706231,45.046895,45.87638260683933,44.21740739316067,0.0,0.0,45.18440762682658,0.07141855501457114,0.05309117478483636,0.04761237000971417
38,1993-03-25,44.9063,45.25,44.8438,45.1563,26.0498,110100,0.15473443974963885,-0.061647507501938786,0.21638194725157764,45.08752,45.85235560481978,44.32268439518022,0.0,0.0,45.185239602560905,0.2902764237810171,0.07192991098376372,0.14437117793671986
39,1993-03-26,45.125,45.1563,44.875,44.9063,25.9056,101500,0.13255260067079888,-0.06706347726462303,0.1996160779354219,45.11252,45.81695559137798,44.408084408622024,0.0,0.0,45.16857073277539,0.08586330428013648,0.11372321410166963,0.14918609435857486
40,1993-03-29,44.9375,45.3125,44.9375,45.0938,26.0137,87100,0.12862036092901974,-0.05679657360512175,0.1854169345341415,45.15314500000001,45.74603005622933,44.56025994377069,0.0,0.0,45.12970275384355,0.24847246251903715,0.16725377860734167,0.20820406352673024
41,1993-03-30,45.1563,45.2188,45.0938,45.2188,26.0859,56000,0.13404529718911817,-0.041097309876018645,0.17514260706513682,45.167210000000004,45.75225953260391,44.5821604673961,0.0,0.0,45.08197686689197,0.4115156026299095,0.20200242700944426,0.24861712314302767
42,1993-03-31,45.3438,45.4688,45.1875,45.1875,26.0678,111600,0.1342711555445959,-0.032697161216432735,0.16696831676102863,45.170335,45.75511691926568,44.58555308073432,0.0,0.0,45.07291201230026,0.597872426891744,0.2920360057833294,0.4192868306802302
43,1993-04-01,45.25,45.25,44.9375,45.0313,25.9777,129500,0.12045755561746319,-0.037208608914852365,0.15766616453231555,45.17815,45.75099133056201,44.605308669437996,0.0,0.0,45.087671645117055,0.284472414201542,0.36639692279921876,0.4312868145743985
44,1993-04-02,44.6563,44.6563,44.0938,44.0938,25.4369,59400,0.03347587412905284,-0.09935223232261017,0.13282810645166301,45.145340000000004,45.8680721119198,44.42260788808021,0.0,1.0,45.0048863428846,0.0,0.3815628640952413,0.2941149470310953
45,1993-04-05,44.4375,44.4375,44.1875,44.3125,25.5631,172200,-0.017607504520029238,-0.1203484887773538,0.10274098425732456,45.073465,45.826644522491186,44.32028547750881,0.0,1.0,44.900996667199486,0.19781022710693302,0.29538754734721734,0.1607608804361583
46,1993-04-06,44.4063,44.4063,44.0625,44.1875,25.4909,129700,-0.0674009492790475,-0.13611354682909765,0.06871259755005016,45.00315,45.80958641410842,44.19671358589157,0.0,1.0,44.8329656929831,0.11930166252452412,0.1868599302259131,0.10570396321048568
47,1993-04-07,44.25,44.3438,44.1563,44.3438,25.5811,28000,-0.09317642936912307,-0.1295112215353386,0.03633479216621552,44.935964999999996,45.72689223628666,44.14503776371333,0.0,0.0,44.79851989004368,0.2967060673346178,0.1570236097673341,0.20460598565535829
48,1993-04-08,44.5313,44.5313,44.0938,44.2813,25.545,180800,-0.11729480916199009,-0.12290368106256448,0.005608871900574398,44.871905,45.656990466621345,44.08681953337865,0.0,0.0,44.72160050403458,0.24743580704225862,0.17715259816654805,0.22114784563380016
49,1993-04-12,44.7188,44.9375,44.6563,44.9063,25.9056,348500,-0.08499673282691589,-0.07248448378199222,-0.012512249044923662,44.86253,45.641244808129436,44.08381519187056,0.0,0.0,44.743787086133935,0.8320281597237335,0.29482572532978724,0.45872334470020326
50,1993-04-13,44.875,45.1563,44.8438,45.0,25.9597,146100,-0.051248704554964775,-0.030989164408032892,-0.020259540146931883,44.846905,45.60103044705775,44.09277955294225,0.0,0.0,44.761572692466274,0.907213854906083,0.44736571029712063,0.6622259405573584
51,1993-04-14,45.0313,45.0625,44.9063,44.9375,25.9236,119600,-0.02920966582844642,-0.007160100545211628,-0.02204956528323479,44.828154999999995,45.553127199398055,44.103182800601935,0.0,0.0,44.77377581783796,0.8470161881164856,0.6610117842798875,0.8620860675821006
52,1993-04-15,44.9063,45.0313,44.75,44.9375,25.9236,148600,-0.011609739010481235,0.008351861018202848,-0.019961600028684082,44.823465,45.54432170774437,44.102608292255624,0.0,0.0,44.76585884196635,0.8470161881164856,0.7971313617286034,0.8670820770463513
53,1993-04-16,44.9688,45.0313,44.875,44.9375,25.9236,47900,0.00231168216040345,0.01781862575127003,-0.015506943590866578,44.804715,45.492463422826305,44.1169665771737,0.0,0.0,44.75853149952786,0.8470161881164856,0.8587281109149791,0.8470161881164856
54,1993-04-19,44.9375,45.0625,44.7188,44.75,25.8154,157000,-0.0017648303941513177,0.01099369055737221,-0.012758520951523527,44.79065,45.47075086751897,44.110549132481026,0.0,0.0,44.74892244990644,0.6412943987151692,0.8308468411596279,0.7784422583160469
55,1993-04-20,44.6875,44.75,44.25,44.5313,25.6892,279500,-0.022384721080548786,-0.0077009601032202064,-0.01468376097732858,44.77815,45.46760426969456,44.08869573030543,0.0,0.0,44.70488945459255,0.43552563006264294,0.7555790617990995,0.641278738964766
56,1993-04-21,44.625,44.625,44.375,44.5,25.6712,67900,-0.040781675651594185,-0.020878331739412483,-0.019903343912181702,44.7594,45.457639529101634,44.061160470898365,0.0,0.0,44.666057027514434,0.4289285472621976,0.6405457297647165,0.5019161920133366
57,1993-04-22,44.3125,44.6875,43.9375,43.9375,25.3467,97700,-0.09960229047903368,-0.06375915725348158,-0.035843133225552104,44.712525,45.49430542153796,43.93074457846204,0.0,0.0,44.61590548018894,0.0,0.4771154411399054,0.2881513924416135
58,1993-04-23,43.8438,43.9688,43.6875,43.75,25.2386,106000,-0.1595090138853834,-0.09893270452786504,-0.060576309357518364,44.64221,45.500876090864246,43.78354390913575,0.0,1.0,44.583194065861875,0.0,0.3110145889585609,0.14297618242073248
59,1993-04-26,43.7813,43.9375,43.2813,43.4063,25.0403,62600,-0.23204437821930668,-0.13717445508943066,-0.09486992312987604,44.56721,45.570381697966056,43.56403830203395,0.0,1.0,44.573514389638355,0.0,0.14370919162078202,0.0
60,1993-04-27,43.3438,43.875,43.3438,43.875,25.3107,156800,-0.2488405254527848,-0.123176481858327,-0.1256640435944578,44.506269999999994,45.522080145844235,43.49045985415575,0.0,0.0,44.52663183701421,0.415056709786451,0.09377613967207206,0.13835223659548362
61,1993-04-28,43.8125,43.9063,43.7188,43.7813,25.2566,85900,-0.26663875447670193,-0.11277976870579531,-0.15385898577090662,44.434395,45.44175922901556,43.427030770984445,0.0,0.0,44.49901692852511,0.3655667948792576,0.13285335716135105,0.26020783488856947
62,1993-04-29,43.875,43.9688,43.625,43.9688,25.3648,85000,-0.2625873526638003,-0.08698269351431492,-0.17560465914948536,44.37346,45.33774870448643,43.40917129551357,0.0,0.0,44.48895308435039,0.5192838133470989,0.2772875036072185,0.43330243933760243
