,0
453,ATER
454,ATEX
455,ATHA
456,ATHE
457,ATHX
458,ATIF
459,ATLC
460,ATLCL
461,ATLO
462,ATLX
463,ATMC
464,ATMCR
465,ATMCU
466,ATMCW
467,ATMV
468,ATMVR
469,ATMVU
470,ATNF
471,ATNFW
472,ATNI
473,ATNX
474,ATOM
475,ATOS
476,ATRA
477,ATRC
478,ATRI
479,ATRO
480,ATSG
481,ATVI
482,ATXG
483,ATXI
484,ATXS
485,ATY
486,AUBN
487,AUDC
488,AUGX
489,AUID
490,AUPH
491,AUR
492,AURA
493,AURC
494,AURCU
495,AURCW
496,AUROW
497,AUTL
498,AUUD
499,AUUDW
500,AUVI
501,AVAC
502,AVACU
503,AVACW
504,AVAH
505,AVAV
506,AVCT
507,AVDL
508,AVDX
509,AVGO
510,AVGR
511,AVHI
512,AVHIU
513,AVHIW
514,AVID
515,AVIR
516,AVNW
517,AVO
518,AVPT
519,AVPTW
520,AVRO
521,AVT
522,AVTA
523,AVTE
524,AVTX
525,AVXL
526,AWH
527,AWINW
528,AWRE
529,AXAS
530,AXDX
531,AXGN
532,AXLA
533,AXNX
534,AXON
535,AXSM
536,AXTI
537,AY
538,AYLA
539,AYRO
540,AYTU
541,AZ
542,AZN
543,AZPN
544,AZTA
545,AZYO
546,BAC-PQ
547,BACK
548,BAER
549,BAERW
550,BAFN
551,BAND
552,BANF
553,BANR
554,BANX
555,BAOS
556,BASE
557,BATRA
558,BATRK
559,BBBY
560,BBCP
561,BBGI
562,BBI
563,BBIG
564,BBIO
565,BBLG
566,BBLGW
567,BBQ
568,BBSI
569,BCAB
570,BCAN
571,BCBP
572,BCDA
573,BCDAW
574,BCEL
575,BCLI
576,BCML
577,BCOR
578,BCOV
579,BCOW
580,BCPC
581,BCRX
582,BCSA
583,BCSAU
584,BCSAW
585,BCTX
586,BCTXW
587,BCYC
588,BDSX
589,BDTX
590,BEAM
591,BEAT
592,BEATW
593,BECN
594,BEEM
595,BEEMW
596,BELFA
597,BELFB
598,BFC
599,BFI
600,BFIIW
601,BFIN
602,BFIX
603,BFRG
604,BFRGW
605,BFRI
606,BFRIW
607,BFST
608,BGCP
609,BGFV
610,BGNE
611,BGRY
